domain_name,category_name,test_type,difficulty,question_text
,,CODING,MEDIUM,Rotate a 2D image (matrix) by 90 degrees.
,,CODING,MEDIUM,Product of array except self.
,,CODING,MEDIUM,Top K frequent elements in an array.
,,CODING,MEDIUM,Coin Change problem: Minimum coins to reach target.
,,CODING,MEDIUM,Word Search in a 2D grid.
,,CODING,MEDIUM,Construct Binary Tree from Preorder and Inorder Traversal.
,,CODING,MEDIUM,Partition Equal Subset Sum.
,,CODING,MEDIUM,Remove the Nth node from the end of a Linked List.
,,CODING,MEDIUM,Spirally traversing a matrix.
,,CODING,MEDIUM,Find the peak element in an array.
,,CODING,MEDIUM,Gas Station: Find starting point to complete circuit.
,,CODING,MEDIUM,House Robber: Maximum money without robbing adjacent houses.
,,CODING,MEDIUM,Min Stack: Stack that supports getMin in O(1).
,,CODING,MEDIUM,Longest consecutive sequence in an unsorted array.
,,CODING,MEDIUM,Minimum size subarray sum.
,,CODING,MEDIUM,Reorder a Linked List.
,,CODING,MEDIUM,Kth smallest element in a BST.
,,CODING,HARD,Median of two sorted arrays.
,,CODING,HARD,Trapping Rain Water.
,,CODING,HARD,Merge K sorted Linked Lists.
,,CODING,HARD,Solve the N-Queens problem.
,,CODING,HARD,Find the maximum path sum in a Binary Tree.
,,CODING,HARD,Regular Expression Matching with * and .
,,CODING,HARD,Longest Valid Parentheses.
,,CODING,HARD,Edit Distance between two strings.
,,CODING,HARD,Sudoku Solver.
,,CODING,HARD,Find the shortest path in a weighted graph (Dijkstra).
,,CODING,HARD,Word Ladder: Find shortest transformation sequence.
,,CODING,HARD,Find the maximum area of a rectangle in a histogram.
,,CODING,HARD,Sliding Window Maximum.
,,CODING,HARD,Serialize and Deserialize a Binary Tree.
,,CODING,HARD,Binary Tree Maximum Path Sum.
,,CODING,HARD,Burst Balloons to maximize coins.
,,CODING,HARD,Wildcard Matching.
,,CODING,HARD,Count of Smaller Numbers After Self.
,,CODING,HARD,Smallest Range Covering Elements from K Lists.
,,CODING,HARD,Longest Chunked Palindrome Decomposition.
,,CODING,HARD,Interleaving String.
,,CODING,HARD,Reverse Nodes in k-Group.
,,CODING,HARD,First Missing Positive Integer.
,,CODING,HARD,Strong Password Checker.
,,CODING,HARD,Minimum Window Substring.
,,CODING,HARD,Largest Rectangle in Binary Matrix.
,,CODING,HARD,Optimal Account Balancing.
,,CODING,HARD,Word Search II using Trie.
,,CODING,HARD,Alien Dictionary: Topological Sort.
,,CODING,HARD,Find the duplicate in an array (Floyd's Cycle Finding).
,,APTITUDE,EASY,A man buys a toy for $25 and sells it for $30. Find the gain percentage.
,,APTITUDE,EASY,What is 15% of 200?
,,APTITUDE,EASY,Find the average of the first five prime numbers.
,,APTITUDE,EASY,If 5 chairs cost $120; how much do 12 chairs cost?
,,APTITUDE,EASY,A car travels 180 km in 3 hours. Find its speed in m/s.
,,APTITUDE,EASY,The ratio of two numbers is 3:4 and their sum is 70. Find the numbers.
,,APTITUDE,EASY,If a side of a square is increased by 10%; find the percentage increase in its area.
,,APTITUDE,EASY,Find the simple interest on $5000 at 10% per annum for 2 years.
,,APTITUDE,EASY,A person crosses a 600m long street in 5 minutes. What is his speed in km/hr?
,,APTITUDE,EASY,A and B can do a work in 6 and 12 days respectively. In how many days can they finish it together?
,,APTITUDE,EASY,Complete the series: 2; 6; 12; 20; 30; ?
,,APTITUDE,EASY,Find the HCF of 12; 18; and 24.
,,APTITUDE,EASY,Convert 0.75 into a fraction in its simplest form.
,,APTITUDE,EASY,A train 100m long passes a bridge at 72 km/hr in 25 seconds. Find the length of the bridge.
,,APTITUDE,EASY,If the cost price is 95% of the selling price; what is the profit percentage?
,,APTITUDE,EASY,Find the sum of all even numbers between 1 and 20.
,,APTITUDE,EASY,If X:Y = 2:3 and Y:Z = 4:5; find X:Y:Z.
,,APTITUDE,EASY,Find the value of (256)^0.25.
,,APTITUDE,EASY,A vendor bought toffees at 6 for a rupee. How many for a rupee must he sell to gain 20%?
,,APTITUDE,EASY,What is the probability of getting a sum of 7 when two dice are thrown?
,,APTITUDE,EASY,The age of a father is 3 times his son. If the sum of their ages is 48; find the son's age.
,,APTITUDE,EASY,Express 36 km/hr in meters per second.
,,APTITUDE,EASY,Find the LCM of 15; 20; and 30.
,,APTITUDE,EASY,What is the unit digit in the product (2467)^153?
,,APTITUDE,EASY,A fruit seller had some apples. He sells 40% and still has 420. How many did he have originally?
,,APTITUDE,EASY,Find the perimeter of a rectangle whose length is 12cm and breadth is 8cm.
,,APTITUDE,EASY,If a dozen eggs cost $24; how much will 7 eggs cost?
,,APTITUDE,EASY,What is the smallest three-digit number divisible by 7?
,,APTITUDE,EASY,Find the third proportional to 9 and 12.
,,APTITUDE,EASY,In how many ways can the letters of the word 'APPLE' be arranged?
,,APTITUDE,EASY,Find the square root of 625.
,,APTITUDE,EASY,A batsman scored 110 runs which included 3 boundaries and 8 sixes. What percent did he score by running?
,,APTITUDE,EASY,Find the surface area of a cube whose side is 5cm.
,,APTITUDE,EASY,Find the odd one out: 3; 5; 7; 9; 11; 13.
,,APTITUDE,EASY,What is the value of 0.003 * 0.02?
,,APTITUDE,EASY,If 15% of X = 20% of Y; then find X:Y.
,,APTITUDE,EASY,A cyclist covers 500m in 2 minutes. Find his speed in km/hr.
,,APTITUDE,EASY,Find the median of the data: 10; 12; 14; 16; 18.
,,APTITUDE,EASY,What percent of 7.2 kg is 18 grams?
,,APTITUDE,EASY,Simplify: (1/2 + 1/4 + 1/8).
,,APTITUDE,MEDIUM,A sum of money doubles itself in 8 years at simple interest. Find the rate of interest.
,,APTITUDE,MEDIUM,Find the compound interest on $10000 for 2 years at 10% per annum compounded half-yearly.
,,APTITUDE,MEDIUM,Two pipes A and B can fill a tank in 20 and 30 minutes. If both are opened; how long will it take?
,,APTITUDE,MEDIUM,A man can row 6 km/hr in still water. If the speed of the current is 2 km/hr; find speed downstream.
,,APTITUDE,MEDIUM,Find the largest four-digit number exactly divisible by 12; 15; 18 and 27.
,,APTITUDE,MEDIUM,A mixture contains milk and water in ratio 5:1. If 5L water is added; ratio becomes 5:2. Find milk quantity.
,,APTITUDE,MEDIUM,If 6 men and 8 boys can do a work in 10 days; how long will 26 men and 48 boys take?
,,APTITUDE,MEDIUM,The price of petrol increased by 25%. By how much must a user reduce consumption to keep expenditure same?
,,APTITUDE,MEDIUM,In a group of 60 people; 27 like cold drinks and 42 like hot drinks. How many like both?
,,APTITUDE,MEDIUM,Find the angle between the hour hand and minute hand of a clock at 3:40.
,,APTITUDE,MEDIUM,A bag contains 4 white; 5 red and 6 blue balls. Three balls are drawn at random. Find probability of all red.
,,APTITUDE,MEDIUM,At what time between 4 and 5 o'clock will the hands of a clock be together?
,,APTITUDE,MEDIUM,Find the difference between CI and SI on $2500 for 2 years at 4% per annum.
,,APTITUDE,MEDIUM,A can finish a work in 18 days and B can do the same in 15 days. B worked for 10 days and left. Find A's remaining time.
,,APTITUDE,MEDIUM,A train 140m long is running at 60 km/hr. In how much time will it pass a man running at 6 km/hr in opposite direction?
,,APTITUDE,MEDIUM,If log 27 = 1.431; find the value of log 9.
,,APTITUDE,MEDIUM,The difference between a two-digit number and the number obtained by interchanging digits is 36. Find digit difference.
,,APTITUDE,MEDIUM,Find the area of a triangle whose sides are 13cm; 14cm; and 15cm.
,,APTITUDE,MEDIUM,Find the number of lead balls; each 1cm in radius; that can be made from a sphere of radius 8cm.
,,APTITUDE,MEDIUM,What is the probability that a leap year has 53 Sundays?
,,APTITUDE,MEDIUM,If 2^x * 8^(1/5) = 2^(1/5); find the value of x.
,,APTITUDE,MEDIUM,An error of 2% in excess is made while measuring the side of a square. Find percentage error in area.
,,APTITUDE,MEDIUM,In a test; a candidate must get 40% marks to pass. A gets 190 marks and fails by 10. Find total marks.
,,APTITUDE,MEDIUM,Find the remainder when 2^31 is divided by 5.
,,APTITUDE,MEDIUM,Three numbers are in ratio 3:4:5 and their LCM is 2400. Find their HCF.
,,APTITUDE,MEDIUM,The average age of 30 students is 15 years. If the teacher's age is included; average increases by 1. Teacher's age?
,,APTITUDE,MEDIUM,A sum was put at simple interest at a certain rate for 3 years. Had it been 1% higher; it would fetch $5100 more. Sum?
,,APTITUDE,MEDIUM,The population of a town increases 5% annually. If present is 176400; what was it 2 years ago?
,,APTITUDE,MEDIUM,Find the cost of carpeting a room 13m long and 9m broad with a carpet 75cm wide at $12.40 per meter.
,,APTITUDE,MEDIUM,Points A and B are 100km apart on a highway. One car starts from A and another from B at same time. If same direction; 5hrs.
,,APTITUDE,MEDIUM,How many three-digit numbers are divisible by 6?
,,APTITUDE,MEDIUM,If a + b + c = 0; find the value of (a^3 + b^3 + c^3) / abc.
,,APTITUDE,MEDIUM,Find the sum of all two-digit numbers which leave a remainder 3 when divided by 5.
,,APTITUDE,MEDIUM,The length of a rectangle is halved while its breadth is tripled. What is the percentage change in area?
,,APTITUDE,MEDIUM,A sum of money at compound interest amounts to thrice itself in 3 years. In how many years will it be 9 times?
,,APTITUDE,MEDIUM,Find the surface area of a sphere of radius 7cm.
,,APTITUDE,MEDIUM,A man spends 75% of his income. His income increases by 20% and he increases expenditure by 10%. Find savings increase.
,,APTITUDE,MEDIUM,Find the value of (1 + 1/2)(1 + 1/3)(1 + 1/4)...(1 + 1/120).
,,APTITUDE,MEDIUM,Two trains of equal length are running on parallel lines in same direction at 46 km/hr and 36 km/hr. Faster passes in 36s.
,,APTITUDE,MEDIUM,If 5 men or 9 women can do a work in 19 days; in how many days will 3 men and 6 women do it?
,,APTITUDE,HARD,Find the number of zeros at the end of 100! (100 factorial).
,,APTITUDE,HARD,A man completes a journey in 10 hours. He travels first half at 21 km/hr and second half at 24 km/hr. Find total distance.
,,APTITUDE,HARD,In how many ways can 5 boys and 5 girls sit in a circle such that no two girls sit together?
,,APTITUDE,HARD,A sum of $725 is lent in the beginning of a year at a certain rate of interest. After 8 months; $362.50 more is lent at double rate.
,,APTITUDE,HARD,Find the value of sqrt(6 + sqrt(6 + sqrt(6 + ...))).
,,APTITUDE,HARD,What is the last digit of 7^105?
,,APTITUDE,HARD,A and B enter into a partnership with $16000 and $12000. After 3 months; A withdraws $5000 and B invests $5000 more.
,,APTITUDE,HARD,Find the number of divisors of 1080 excluding 1 and itself.
,,APTITUDE,HARD,Three containers have volumes in ratio 3:4:5. They are full of milk and water in ratios (4:1); (3:1); (5:2). Mixed together.
,,APTITUDE,HARD,A cistern has two taps which fill it in 12 and 15 mins. There is also a waste pipe. When all three open; it fills in 20 mins.
,,APTITUDE,HARD,If x + 1/x = 5; find the value of x^4 + 1/x^4.
,,APTITUDE,HARD,The ratio of areas of two squares; one inscribed in a circle and other circumscribing the same circle; is?
,,APTITUDE,HARD,A person travels from P to Q at 40 km/hr and returns by increasing his speed by 50%. Find average speed for whole journey.
,,APTITUDE,HARD,Find the probability of picking 2 kings and 1 queen from a pack of 52 cards.
,,APTITUDE,HARD,A boat goes 24 km upstream and 28 km downstream in 6 hours. It goes 30 km upstream and 21 km downstream in 6.5 hours.
,,APTITUDE,HARD,A sum of money is divided among A; B; C; D in ratio 5:2:4:3. If C gets $1000 more than D; what is B's share?
,,APTITUDE,HARD,Find the greatest number that will divide 43; 91 and 183 so as to leave the same remainder in each case.
,,APTITUDE,HARD,In an election between two candidates; one got 55% of total valid votes. 20% votes were invalid. Total votes were 7500.
,,APTITUDE,HARD,Two trains 140m and 160m long run at 60 km/hr and 40 km/hr respectively in opposite directions on parallel tracks. Time to pass?
,,APTITUDE,HARD,A hollow iron pipe is 21 cm long and its external diameter is 8 cm. If thickness of iron is 1 cm; find weight (8g/cm3).
Node.js,Backend,TECHNICAL,EASY,What is Node.js and why is it popular?
Node.js,Backend,TECHNICAL,EASY,What is the event loop in Node.js?
Node.js,Backend,TECHNICAL,EASY,What is npm?
Node.js,Backend,TECHNICAL,EASY,What is the difference between Node.js and JavaScript?
Node.js,Backend,TECHNICAL,EASY,What are modules in Node.js?
Node.js,Backend,TECHNICAL,EASY,What is the difference between require and import?
Node.js,Backend,TECHNICAL,EASY,What is package.json?
Node.js,Backend,TECHNICAL,EASY,What is Express.js?
Node.js,Backend,TECHNICAL,EASY,How do you create a basic HTTP server in Node.js?
Node.js,Backend,TECHNICAL,EASY,What is middleware in Express?
Node.js,Backend,TECHNICAL,EASY,What is a callback function in Node.js?
Node.js,Backend,TECHNICAL,EASY,What is asynchronous programming in Node.js?
Node.js,Backend,TECHNICAL,EASY,What is the fs module used for?
Node.js,Backend,TECHNICAL,EASY,What is the difference between synchronous and asynchronous methods?
Node.js,Backend,TECHNICAL,EASY,What is process object in Node.js?
Node.js,Backend,TECHNICAL,MEDIUM,Explain the event-driven architecture of Node.js.
Node.js,Backend,TECHNICAL,MEDIUM,What are streams in Node.js and their types?
Node.js,Backend,TECHNICAL,MEDIUM,What is the difference between process.nextTick and setImmediate?
Node.js,Backend,TECHNICAL,MEDIUM,How does Node.js handle child processes?
Node.js,Backend,TECHNICAL,MEDIUM,What is the buffer class in Node.js?
Node.js,Backend,TECHNICAL,MEDIUM,Explain promises and async/await in Node.js.
Node.js,Backend,TECHNICAL,MEDIUM,What is the purpose of the cluster module?
Node.js,Backend,TECHNICAL,MEDIUM,How do you handle errors in Node.js?
Node.js,Backend,TECHNICAL,MEDIUM,What is the difference between dependencies and devDependencies?
Node.js,Backend,TECHNICAL,MEDIUM,How do you implement authentication in Node.js?
Node.js,Backend,TECHNICAL,MEDIUM,What are environment variables and how do you use them?
Node.js,Backend,TECHNICAL,MEDIUM,What is CORS and how do you handle it?
Node.js,Backend,TECHNICAL,MEDIUM,How do you connect to a MongoDB database from Node.js?
Node.js,Backend,TECHNICAL,MEDIUM,What is the purpose of body-parser middleware?
Node.js,Backend,TECHNICAL,MEDIUM,How do you implement routing in Express.js?
Node.js,Backend,TECHNICAL,MEDIUM,What is the difference between REST and GraphQL?
Node.js,Backend,TECHNICAL,MEDIUM,How do you validate request data in Node.js?
Node.js,Backend,TECHNICAL,MEDIUM,What is JWT and how is it used for authentication?
Node.js,Backend,TECHNICAL,MEDIUM,How do you handle file uploads in Node.js?
Node.js,Backend,TECHNICAL,MEDIUM,What is the purpose of the path module?
Node.js,Backend,TECHNICAL,HARD,Explain the internal workings of the Node.js event loop.
Node.js,Backend,TECHNICAL,HARD,What is worker threads and how do they differ from child processes?
Node.js,Backend,TECHNICAL,HARD,How would you implement clustering in Node.js for scalability?
Node.js,Backend,TECHNICAL,HARD,Explain memory management and garbage collection in Node.js.
Node.js,Backend,TECHNICAL,HARD,How do you debug memory leaks in Node.js applications?
Node.js,Backend,TECHNICAL,HARD,What are the best practices for securing Node.js applications?
Node.js,Backend,TECHNICAL,HARD,How would you implement rate limiting and throttling?
Node.js,Backend,TECHNICAL,HARD,Explain the difference between readable and writable streams in depth.
Node.js,Backend,TECHNICAL,HARD,How do you implement microservices architecture with Node.js?
Node.js,Backend,TECHNICAL,HARD,What are the strategies for handling high traffic in Node.js?
Node.js,Backend,TECHNICAL,HARD,How would you implement real-time communication with WebSockets?
Node.js,Backend,TECHNICAL,HARD,Explain the V8 engine and its optimization techniques.
Node.js,Backend,TECHNICAL,HARD,How do you implement caching strategies in Node.js?
Node.js,Backend,TECHNICAL,HARD,What are the best practices for error handling in production?
Node.js,Backend,TECHNICAL,HARD,How would you implement a message queue system with Node.js?
Node.js,Backend,HR,EASY,Tell me about yourself and your experience with Node.js.
Node.js,Backend,HR,EASY,Why did you choose Node.js for backend development?
Node.js,Backend,HR,EASY,What do you find most interesting about Node.js?
Node.js,Backend,HR,EASY,How do you stay updated with Node.js ecosystem?
Node.js,Backend,HR,EASY,Describe a Node.js project you have worked on.
Node.js,Backend,HR,EASY,What challenges do you face with Node.js development?
Node.js,Backend,HR,EASY,What frameworks and libraries do you use with Node.js?
Node.js,Backend,HR,EASY,How do you debug Node.js applications?
Node.js,Backend,HR,EASY,What is your development workflow with Node.js?
Node.js,Backend,HR,EASY,What motivates you as a backend developer?
Node.js,Backend,HR,MEDIUM,Describe a complex API you built with Node.js.
Node.js,Backend,HR,MEDIUM,How do you handle performance optimization in Node.js?
Node.js,Backend,HR,MEDIUM,Tell me about implementing authentication and security.
Node.js,Backend,HR,MEDIUM,How do you approach database design for Node.js apps?
Node.js,Backend,HR,MEDIUM,Describe your experience with testing Node.js applications.
Node.js,Backend,HR,MEDIUM,How do you ensure code quality in Node.js projects?
Node.js,Backend,HR,MEDIUM,Tell me about a challenging bug you fixed in production.
Node.js,Backend,HR,MEDIUM,How do you handle API versioning and backward compatibility?
Node.js,Backend,HR,MEDIUM,Describe your experience with deployment and DevOps.
Node.js,Backend,HR,MEDIUM,How do you manage dependencies and package versions?
Node.js,Backend,HR,MEDIUM,Tell me about implementing real-time features.
Node.js,Backend,HR,MEDIUM,How do you handle error logging and monitoring?
Node.js,Backend,HR,MEDIUM,Describe working with third-party API integrations.
Node.js,Backend,HR,MEDIUM,How do you approach documentation for APIs?
Node.js,Backend,HR,MEDIUM,Tell me about optimizing database queries.
Node.js,Backend,HR,HARD,Describe architecting a microservices system with Node.js.
Node.js,Backend,HR,HARD,How would you handle scaling a Node.js application to millions of users?
Node.js,Backend,HR,HARD,Tell me about resolving a critical production outage.
Node.js,Backend,HR,HARD,How do you design for high availability and fault tolerance?
Node.js,Backend,HR,HARD,Describe implementing a complex distributed system.
Node.js,Backend,HR,HARD,How would you migrate a monolith to microservices?
Node.js,Backend,HR,HARD,Tell me about establishing backend architecture standards.
Node.js,Backend,HR,HARD,How do you handle data consistency in distributed systems?
Node.js,Backend,HR,HARD,Describe implementing observability and monitoring at scale.
Node.js,Backend,HR,HARD,How would you lead a team of Node.js developers?
Python,Backend,TECHNICAL,EASY,What is Python and why is it used for backend development?
Python,Backend,TECHNICAL,EASY,What are the key features of Python?
Python,Backend,TECHNICAL,EASY,What is the difference between list and tuple?
Python,Backend,TECHNICAL,EASY,What is a dictionary in Python?
Python,Backend,TECHNICAL,EASY,What is the difference between == and is?
Python,Backend,TECHNICAL,EASY,What are Python decorators?
Python,Backend,TECHNICAL,EASY,What is Flask?
Python,Backend,TECHNICAL,EASY,What is Django?
Python,Backend,TECHNICAL,EASY,What is pip?
Python,Backend,TECHNICAL,EASY,What is a virtual environment in Python?
Python,Backend,TECHNICAL,EASY,What is the difference between Python 2 and Python 3?
Python,Backend,TECHNICAL,EASY,What are Python modules and packages?
Python,Backend,TECHNICAL,EASY,What is the purpose of __init__.py?
Python,Backend,TECHNICAL,EASY,What is a lambda function?
Python,Backend,TECHNICAL,EASY,What is list comprehension?
Python,Backend,TECHNICAL,MEDIUM,Explain the difference between Flask and Django.
Python,Backend,TECHNICAL,MEDIUM,What is the Global Interpreter Lock (GIL)?
Python,Backend,TECHNICAL,MEDIUM,How does Python manage memory?
Python,Backend,TECHNICAL,MEDIUM,What are generators in Python and how do they work?
Python,Backend,TECHNICAL,MEDIUM,Explain the difference between deep copy and shallow copy.
Python,Backend,TECHNICAL,MEDIUM,What are context managers and the with statement?
Python,Backend,TECHNICAL,MEDIUM,What is the purpose of *args and **kwargs?
Python,Backend,TECHNICAL,MEDIUM,How do you handle exceptions in Python?
Python,Backend,TECHNICAL,MEDIUM,What is the difference between @staticmethod and @classmethod?
Python,Backend,TECHNICAL,MEDIUM,What is Django ORM and how does it work?
Python,Backend,TECHNICAL,MEDIUM,How do you implement authentication in Django?
Python,Backend,TECHNICAL,MEDIUM,What are Django middleware and signals?
Python,Backend,TECHNICAL,MEDIUM,How do you create RESTful APIs in Flask?
Python,Backend,TECHNICAL,MEDIUM,What is SQLAlchemy and how is it used?
Python,Backend,TECHNICAL,MEDIUM,How do you handle asynchronous programming in Python?
Python,Backend,TECHNICAL,MEDIUM,What is the purpose of async and await keywords?
Python,Backend,TECHNICAL,MEDIUM,How do you implement caching in Python applications?
Python,Backend,TECHNICAL,MEDIUM,What is Celery and how do you use it?
Python,Backend,TECHNICAL,MEDIUM,How do you handle database migrations in Django?
Python,Backend,TECHNICAL,MEDIUM,What are Python type hints and their benefits?
Python,Backend,TECHNICAL,HARD,Explain the internals of Python's garbage collection mechanism.
Python,Backend,TECHNICAL,HARD,How does Python's asyncio event loop work?
Python,Backend,TECHNICAL,HARD,What are metaclasses in Python and when would you use them?
Python,Backend,TECHNICAL,HARD,Explain the descriptor protocol in Python.
Python,Backend,TECHNICAL,HARD,How would you optimize Python code for performance?
Python,Backend,TECHNICAL,HARD,What are the best practices for building scalable Python applications?
Python,Backend,TECHNICAL,HARD,How do you implement multiprocessing vs multithreading in Python?
Python,Backend,TECHNICAL,HARD,Explain Django's request-response cycle in detail.
Python,Backend,TECHNICAL,HARD,How would you implement a custom authentication backend in Django?
Python,Backend,TECHNICAL,HARD,What are the strategies for handling concurrency in Python?
Python,Backend,TECHNICAL,HARD,How do you implement custom middleware in Django?
Python,Backend,TECHNICAL,HARD,Explain Python's method resolution order (MRO).
Python,Backend,TECHNICAL,HARD,How would you design a distributed task queue system?
Python,Backend,TECHNICAL,HARD,What are the performance trade-offs of different Python web frameworks?
Python,Backend,TECHNICAL,HARD,How do you implement real-time features in Python applications?
Python,Backend,HR,EASY,Tell me about yourself and your Python backend experience.
Python,Backend,HR,EASY,Why did you choose Python for backend development?
Python,Backend,HR,EASY,What do you find most powerful about Python?
Python,Backend,HR,EASY,How do you stay updated with Python ecosystem?
Python,Backend,HR,EASY,Describe a Python backend project you built.
Python,Backend,HR,EASY,What frameworks do you prefer and why?
Python,Backend,HR,EASY,What challenges do you face with Python development?
Python,Backend,HR,EASY,How do you debug Python applications?
Python,Backend,HR,EASY,What tools do you use for Python development?
Python,Backend,HR,EASY,What motivates you as a Python developer?
Python,Backend,HR,MEDIUM,Describe a complex Django application you architected.
Python,Backend,HR,MEDIUM,How do you handle performance optimization in Python?
Python,Backend,HR,MEDIUM,Tell me about implementing microservices with Python.
Python,Backend,HR,MEDIUM,How do you approach testing Python applications?
Python,Backend,HR,MEDIUM,Describe your experience with async Python programming.
Python,Backend,HR,MEDIUM,How do you ensure code quality in Python projects?
Python,Backend,HR,MEDIUM,Tell me about a difficult bug you solved in production.
Python,Backend,HR,MEDIUM,How do you handle database design and optimization?
Python,Backend,HR,MEDIUM,Describe integrating third-party services in Python.
Python,Backend,HR,MEDIUM,How do you manage Python dependencies and environments?
Python,Backend,HR,MEDIUM,Tell me about implementing background jobs with Celery.
Python,Backend,HR,MEDIUM,How do you approach API design and documentation?
Python,Backend,HR,MEDIUM,Describe your experience with Django ORM optimization.
Python,Backend,HR,MEDIUM,How do you handle deployment and CI/CD for Python apps?
Python,Backend,HR,MEDIUM,Tell me about working with data-heavy applications.
Python,Backend,HR,HARD,Describe architecting a large-scale Django application.
Python,Backend,HR,HARD,How would you handle scaling Python apps to millions of requests?
Python,Backend,HR,HARD,Tell me about resolving a critical production incident.
Python,Backend,HR,HARD,How do you design for fault tolerance in Python services?
Python,Backend,HR,HARD,Describe migrating a monolith to microservices architecture.
Python,Backend,HR,HARD,How would you implement complex business logic efficiently?
Python,Backend,HR,HARD,Tell me about establishing Python coding standards for teams.
Python,Backend,HR,HARD,How do you handle data consistency across services?
Python,Backend,HR,HARD,Describe implementing observability in Python applications.
Python,Backend,HR,HARD,How would you lead a Python backend development team?
Java,Backend,TECHNICAL,EASY,What is Java and why is it used for backend development?
Java,Backend,TECHNICAL,EASY,What is the difference between JDK JRE and JVM?
Java,Backend,TECHNICAL,EASY,What are the main features of Java?
Java,Backend,TECHNICAL,EASY,What is the difference between abstract class and interface?
Java,Backend,TECHNICAL,EASY,What is inheritance in Java?
Java,Backend,TECHNICAL,EASY,What is polymorphism in Java?
Java,Backend,TECHNICAL,EASY,What is encapsulation?
Java,Backend,TECHNICAL,EASY,What is the difference between String StringBuffer and StringBuilder?
Java,Backend,TECHNICAL,EASY,What is Spring Framework?
Java,Backend,TECHNICAL,EASY,What is Spring Boot?
Java,Backend,TECHNICAL,EASY,What is Maven?
Java,Backend,TECHNICAL,EASY,What is the difference between ArrayList and LinkedList?
Java,Backend,TECHNICAL,EASY,What is exception handling in Java?
Java,Backend,TECHNICAL,EASY,What is the difference between checked and unchecked exceptions?
Java,Backend,TECHNICAL,EASY,What is a constructor in Java?
Java,Backend,TECHNICAL,MEDIUM,Explain the Java memory model and garbage collection.
Java,Backend,TECHNICAL,MEDIUM,What is dependency injection in Spring?
Java,Backend,TECHNICAL,MEDIUM,What are the different types of dependency injection?
