Vue,Frontend,TECHNICAL,MEDIUM,What are watchers in Vue and when would you use them?
Vue,Frontend,TECHNICAL,MEDIUM,Explain Vue's reactivity system.
Vue,Frontend,TECHNICAL,MEDIUM,What is the difference between Vue 2 and Vue 3?
Vue,Frontend,TECHNICAL,MEDIUM,What is the Composition API in Vue 3?
Vue,Frontend,TECHNICAL,MEDIUM,How does Vue Router work?
Vue,Frontend,TECHNICAL,MEDIUM,What is Vuex and why would you use it?
Vue,Frontend,TECHNICAL,MEDIUM,What are slots in Vue?
Vue,Frontend,TECHNICAL,MEDIUM,What are mixins in Vue?
Vue,Frontend,TECHNICAL,MEDIUM,How do you emit custom events from child to parent?
Vue,Frontend,TECHNICAL,MEDIUM,What is the purpose of the key attribute in v-for?
Vue,Frontend,TECHNICAL,MEDIUM,Explain scoped slots in Vue.
Vue,Frontend,TECHNICAL,MEDIUM,What are dynamic components in Vue?
Vue,Frontend,TECHNICAL,MEDIUM,How do you implement lazy loading in Vue Router?
Vue,Frontend,TECHNICAL,MEDIUM,What is the difference between v-bind and v-model?
Vue,Frontend,TECHNICAL,MEDIUM,How do you handle forms in Vue?
Vue,Frontend,TECHNICAL,MEDIUM,What are filters in Vue 2 and their alternative in Vue 3?
Vue,Frontend,TECHNICAL,MEDIUM,Explain the concept of provide and inject in Vue.
Vue,Frontend,TECHNICAL,MEDIUM,How do you optimize Vue application performance?
Vue,Frontend,TECHNICAL,HARD,Explain the virtual DOM implementation in Vue.
Vue,Frontend,TECHNICAL,HARD,How does Vue's reactivity system work under the hood using Proxy in Vue 3?
Vue,Frontend,TECHNICAL,HARD,What are the differences between Options API and Composition API?
Vue,Frontend,TECHNICAL,HARD,How would you implement server-side rendering with Vue?
Vue,Frontend,TECHNICAL,HARD,Explain Vue's template compilation process.
Vue,Frontend,TECHNICAL,HARD,How do you implement custom directives in Vue?
Vue,Frontend,TECHNICAL,HARD,What are render functions and JSX in Vue?
Vue,Frontend,TECHNICAL,HARD,How would you build a plugin for Vue?
Vue,Frontend,TECHNICAL,HARD,Explain the differences between Vuex and Pinia.
Vue,Frontend,TECHNICAL,HARD,How does Vue handle component communication in complex applications?
Vue,Frontend,TECHNICAL,HARD,What are the performance implications of watchers vs computed properties?
Vue,Frontend,TECHNICAL,HARD,How would you implement code splitting in a large Vue application?
Vue,Frontend,TECHNICAL,HARD,Explain the ref and reactive functions in Vue 3 Composition API.
Vue,Frontend,TECHNICAL,HARD,How do you handle memory leaks in Vue applications?
Vue,Frontend,TECHNICAL,HARD,What are the best practices for managing state in large Vue applications?
Vue,Frontend,CODING,EASY,Create a simple Vue component that displays Hello World.
Vue,Frontend,CODING,EASY,Build a counter component with increment and decrement buttons.
Vue,Frontend,CODING,EASY,Create a component that toggles text visibility on button click.
Vue,Frontend,CODING,EASY,Build a two-way data binding input field that displays typed text.
Vue,Frontend,CODING,EASY,Create a component that renders a list of items using v-for.
Vue,Frontend,CODING,EASY,Build a button that changes color on click.
Vue,Frontend,CODING,EASY,Create a component that conditionally renders content based on a boolean.
Vue,Frontend,CODING,EASY,Build a simple greeting component that accepts a name prop.
Vue,Frontend,CODING,EASY,Create a component with multiple event handlers.
Vue,Frontend,CODING,EASY,Build a component that displays the current date and time.
Vue,Frontend,CODING,MEDIUM,Build a todo list application with add and delete functionality.
Vue,Frontend,CODING,MEDIUM,Create a form with validation for email and password.
Vue,Frontend,CODING,MEDIUM,Implement a search filter for a list of items.
Vue,Frontend,CODING,MEDIUM,Build a pagination component for data display.
Vue,Frontend,CODING,MEDIUM,Create a modal dialog component.
Vue,Frontend,CODING,MEDIUM,Implement a custom input component with v-model support.
Vue,Frontend,CODING,MEDIUM,Build a tabs component with dynamic tab switching.
Vue,Frontend,CODING,MEDIUM,Create an accordion component with multiple sections.
Vue,Frontend,CODING,MEDIUM,Implement a dropdown select component.
Vue,Frontend,CODING,MEDIUM,Build a multi-step form with navigation.
Vue,Frontend,CODING,MEDIUM,Create a component that fetches and displays data from an API.
Vue,Frontend,CODING,MEDIUM,Implement a debounced search input.
Vue,Frontend,CODING,MEDIUM,Build a shopping cart with add remove and update quantity.
Vue,Frontend,CODING,MEDIUM,Create a theme switcher using provide and inject.
Vue,Frontend,CODING,MEDIUM,Implement a custom validation composable for forms.
Vue,Frontend,CODING,HARD,Build a drag and drop Kanban board using Vue 3 Composition API.
Vue,Frontend,CODING,HARD,Create a virtual scrolling component for large lists.
Vue,Frontend,CODING,HARD,Implement a real-time chat application with Vue.
Vue,Frontend,CODING,HARD,Build a data table with sorting filtering and pagination.
Vue,Frontend,CODING,HARD,Create a calendar component with event management.
Vue,Frontend,CODING,HARD,Implement a file upload component with progress tracking.
Vue,Frontend,CODING,HARD,Build a form builder with dynamic field generation.
Vue,Frontend,CODING,HARD,Create a nested comment system with replies and voting.
Vue,Frontend,CODING,HARD,Implement a custom state management solution similar to Vuex.
Vue,Frontend,CODING,HARD,Build a rich text editor component using Vue.
Vue,Frontend,CODING,HARD,Create a image gallery with lazy loading and lightbox.
Vue,Frontend,CODING,HARD,Implement a complex workflow builder with Vue.
Vue,Frontend,CODING,HARD,Build a real-time dashboard with charts and live data updates.
Vue,Frontend,CODING,HARD,Create a mobile-responsive navigation menu with animations.
Vue,Frontend,CODING,HARD,Implement a notification system with different types and positions.
Vue,Frontend,HR,EASY,Tell me about yourself and your experience with Vue.js.
Vue,Frontend,HR,EASY,Why did you choose to specialize in Vue.js?
Vue,Frontend,HR,EASY,What do you find most appealing about Vue compared to other frameworks?
Vue,Frontend,HR,EASY,How do you keep up with Vue.js updates and ecosystem changes?
Vue,Frontend,HR,EASY,Describe a Vue project you are most proud of.
Vue,Frontend,HR,EASY,What challenges do you face when developing with Vue?
Vue,Frontend,HR,EASY,How do you approach debugging in Vue applications?
Vue,Frontend,HR,EASY,What Vue UI libraries or tools do you prefer to use?
Vue,Frontend,HR,EASY,How do you organize your Vue project structure?
Vue,Frontend,HR,EASY,What motivates you to work with Vue.js?
Vue,Frontend,HR,MEDIUM,Describe a complex problem you solved using Vue.js.
Vue,Frontend,HR,MEDIUM,How do you handle performance optimization in Vue applications?
Vue,Frontend,HR,MEDIUM,Tell me about a time you had to migrate from Vue 2 to Vue 3.
Vue,Frontend,HR,MEDIUM,How do you decide between using Composition API vs Options API?
Vue,Frontend,HR,MEDIUM,Describe your experience with state management in Vue applications.
Vue,Frontend,HR,MEDIUM,How do you ensure code quality in Vue projects?
Vue,Frontend,HR,MEDIUM,Tell me about a time you had to refactor a Vue component.
Vue,Frontend,HR,MEDIUM,How do you approach testing Vue components?
Vue,Frontend,HR,MEDIUM,Describe a situation where you improved the architecture of a Vue app.
Vue,Frontend,HR,MEDIUM,How do you handle conflicting opinions about Vue best practices?
Vue,Frontend,HR,MEDIUM,Tell me about your experience with Vue Router and complex routing.
Vue,Frontend,HR,MEDIUM,How do you manage technical debt in Vue projects?
Vue,Frontend,HR,MEDIUM,Describe a time you mentored someone on Vue.js.
Vue,Frontend,HR,MEDIUM,How do you approach responsive design in Vue applications?
Vue,Frontend,HR,MEDIUM,Tell me about integrating third-party libraries with Vue.
Vue,Frontend,HR,HARD,Describe an architectural decision you made for a large-scale Vue application.
Vue,Frontend,HR,HARD,How would you handle migrating a legacy application to Vue?
Vue,Frontend,HR,HARD,Tell me about a critical performance issue you identified and resolved in Vue.
Vue,Frontend,HR,HARD,How do you balance rapid development with maintainable code in Vue projects?
Vue,Frontend,HR,HARD,Describe a situation where you had to make trade-offs in a Vue application design.
Vue,Frontend,HR,HARD,How would you implement micro-frontends using Vue?
Vue,Frontend,HR,HARD,Tell me about establishing Vue coding standards for a team.
Vue,Frontend,HR,HARD,How do you approach building reusable component libraries in Vue?
Vue,Frontend,HR,HARD,Describe your experience with Vue SSR or Nuxt.js for production applications.
Vue,Frontend,HR,HARD,How would you lead a team transitioning from another framework to Vue?
domain_name,category_name,test_type,difficulty,question_text
Angular,Frontend,TECHNICAL,EASY,What is Angular and how is it different from AngularJS?
Angular,Frontend,TECHNICAL,EASY,What are Angular components?
Angular,Frontend,TECHNICAL,EASY,What is a module in Angular?
Angular,Frontend,TECHNICAL,EASY,What is data binding in Angular?
Angular,Frontend,TECHNICAL,EASY,What is the difference between one-way and two-way data binding?
Angular,Frontend,TECHNICAL,EASY,What are directives in Angular?
Angular,Frontend,TECHNICAL,EASY,What is the purpose of ngFor directive?
Angular,Frontend,TECHNICAL,EASY,What is the purpose of ngIf directive?
Angular,Frontend,TECHNICAL,EASY,What is a template in Angular?
Angular,Frontend,TECHNICAL,EASY,What is dependency injection in Angular?
Angular,Frontend,TECHNICAL,EASY,What are services in Angular?
Angular,Frontend,TECHNICAL,EASY,What is Angular CLI?
Angular,Frontend,TECHNICAL,EASY,What is interpolation in Angular?
Angular,Frontend,TECHNICAL,EASY,What are decorators in Angular?
Angular,Frontend,TECHNICAL,EASY,What is the @Component decorator?
Angular,Frontend,TECHNICAL,MEDIUM,Explain the Angular component lifecycle hooks.
Angular,Frontend,TECHNICAL,MEDIUM,What is the difference between ngOnInit and constructor?
Angular,Frontend,TECHNICAL,MEDIUM,What are observables in Angular and how are they used?
Angular,Frontend,TECHNICAL,MEDIUM,Explain the difference between Subject BehaviorSubject and ReplaySubject.
Angular,Frontend,TECHNICAL,MEDIUM,What is Angular Router and how does routing work?
Angular,Frontend,TECHNICAL,MEDIUM,What are Angular pipes and how do you create custom pipes?
Angular,Frontend,TECHNICAL,MEDIUM,What is change detection in Angular?
Angular,Frontend,TECHNICAL,MEDIUM,What are the different change detection strategies?
Angular,Frontend,TECHNICAL,MEDIUM,What is the purpose of NgModule?
Angular,Frontend,TECHNICAL,MEDIUM,What are structural and attribute directives?
Angular,Frontend,TECHNICAL,MEDIUM,How do you communicate between components in Angular?
Angular,Frontend,TECHNICAL,MEDIUM,What is @Input and @Output decorator?
Angular,Frontend,TECHNICAL,MEDIUM,What are Angular forms and the difference between template-driven and reactive forms?
Angular,Frontend,TECHNICAL,MEDIUM,What is RxJS and its role in Angular?
Angular,Frontend,TECHNICAL,MEDIUM,What is lazy loading in Angular?
Angular,Frontend,TECHNICAL,MEDIUM,What are guards in Angular Router?
Angular,Frontend,TECHNICAL,MEDIUM,What is the purpose of HttpClient in Angular?
Angular,Frontend,TECHNICAL,MEDIUM,How do you handle errors in Angular HTTP requests?
Angular,Frontend,TECHNICAL,MEDIUM,What is content projection in Angular?
Angular,Frontend,TECHNICAL,MEDIUM,What are ViewChild and ContentChild decorators?
Angular,Frontend,TECHNICAL,HARD,Explain Angular's zone.js and how change detection works internally.
Angular,Frontend,TECHNICAL,HARD,What is Ahead-of-Time (AOT) compilation and its benefits?
Angular,Frontend,TECHNICAL,HARD,How does Angular's hierarchical dependency injection work?
Angular,Frontend,TECHNICAL,HARD,Explain the difference between providedIn root and module providers.
Angular,Frontend,TECHNICAL,HARD,What are dynamic components and how do you create them?
Angular,Frontend,TECHNICAL,HARD,How do you implement custom form validators in reactive forms?
Angular,Frontend,TECHNICAL,HARD,What is the purpose of Renderer2 and when should you use it?
Angular,Frontend,TECHNICAL,HARD,Explain Angular's compilation process and view encapsulation.
Angular,Frontend,TECHNICAL,HARD,How would you implement server-side rendering with Angular Universal?
Angular,Frontend,TECHNICAL,HARD,What are the different module types in Angular and their purposes?
Angular,Frontend,TECHNICAL,HARD,How do you optimize Angular application performance?
Angular,Frontend,TECHNICAL,HARD,What are the differences between OnPush and Default change detection?
Angular,Frontend,TECHNICAL,HARD,How do you implement custom structural directives?
Angular,Frontend,TECHNICAL,HARD,Explain Angular's DI resolution modifiers like @Self @SkipSelf @Optional.
Angular,Frontend,TECHNICAL,HARD,How would you implement micro-frontend architecture with Angular?
Angular,Frontend,CODING,EASY,Create a simple Angular component that displays Hello World.
Angular,Frontend,CODING,EASY,Build a counter component with increment and decrement buttons.
Angular,Frontend,CODING,EASY,Create a component with two-way data binding using ngModel.
Angular,Frontend,CODING,EASY,Build a component that displays a list of items using ngFor.
Angular,Frontend,CODING,EASY,Create a component with conditional rendering using ngIf.
Angular,Frontend,CODING,EASY,Build a component that handles button click events.
Angular,Frontend,CODING,EASY,Create a component that uses interpolation to display data.
Angular,Frontend,CODING,EASY,Build a component with property binding.
Angular,Frontend,CODING,EASY,Create a simple service to share data between components.
Angular,Frontend,CODING,EASY,Build a component that uses a custom pipe to transform data.
Angular,Frontend,CODING,MEDIUM,Build a todo list application with add delete and toggle functionality.
Angular,Frontend,CODING,MEDIUM,Create a reactive form with validation for user registration.
Angular,Frontend,CODING,MEDIUM,Implement a search filter component using pipes.
Angular,Frontend,CODING,MEDIUM,Build a pagination component for data display.
Angular,Frontend,CODING,MEDIUM,Create a modal dialog component with service injection.
Angular,Frontend,CODING,MEDIUM,Implement parent-child component communication using Input and Output.
Angular,Frontend,CODING,MEDIUM,Build a routing application with multiple views.
Angular,Frontend,CODING,MEDIUM,Create a service that makes HTTP requests and handles responses.
Angular,Frontend,CODING,MEDIUM,Implement a custom directive that changes element background on hover.
Angular,Frontend,CODING,MEDIUM,Build a form with custom validation logic.
Angular,Frontend,CODING,MEDIUM,Create a component that uses observables to fetch and display data.
Angular,Frontend,CODING,MEDIUM,Implement route guards for protected routes.
Angular,Frontend,CODING,MEDIUM,Build a dropdown component with custom styling.
Angular,Frontend,CODING,MEDIUM,Create a multi-step form with form array.
Angular,Frontend,CODING,MEDIUM,Implement a debounced search using RxJS operators.
Angular,Frontend,CODING,HARD,Build a data table with sorting filtering and pagination using observables.
Angular,Frontend,CODING,HARD,Create a dynamic form generator based on JSON configuration.
Angular,Frontend,CODING,HARD,Implement a real-time chat application using WebSockets.
Angular,Frontend,CODING,HARD,Build a drag and drop interface using Angular CDK.
Angular,Frontend,CODING,HARD,Create a calendar component with event scheduling and management.
Angular,Frontend,CODING,HARD,Implement a file upload component with progress tracking.
Angular,Frontend,CODING,HARD,Build a complex dashboard with multiple widgets and state management.
Angular,Frontend,CODING,HARD,Create a custom form control that implements ControlValueAccessor.
Angular,Frontend,CODING,HARD,Implement a virtual scrolling list for large datasets.
Angular,Frontend,CODING,HARD,Build a nested navigation menu with lazy-loaded modules.
Angular,Frontend,CODING,HARD,Create a chart component with dynamic data updates using RxJS.
Angular,Frontend,CODING,HARD,Implement an advanced search form with dynamic filters.
Angular,Frontend,CODING,HARD,Build a notification system with different types and positions.
Angular,Frontend,CODING,HARD,Create a reusable data grid component with inline editing.
Angular,Frontend,CODING,HARD,Implement authentication with JWT and route protection.
Angular,Frontend,HR,EASY,Tell me about yourself and your experience with Angular.
Angular,Frontend,HR,EASY,Why do you prefer Angular over other frontend frameworks?
Angular,Frontend,HR,EASY,What aspects of Angular development do you enjoy most?
Angular,Frontend,HR,EASY,How do you stay updated with Angular releases and features?
Angular,Frontend,HR,EASY,Describe an Angular project you have worked on.
Angular,Frontend,HR,EASY,What tools and libraries do you use with Angular?
Angular,Frontend,HR,EASY,How do you approach learning new Angular concepts?
Angular,Frontend,HR,EASY,What challenges have you faced while working with Angular?
Angular,Frontend,HR,EASY,How do you organize your Angular project structure?
Angular,Frontend,HR,EASY,What is your preferred IDE for Angular development?
Angular,Frontend,HR,MEDIUM,Describe a complex Angular application you built from scratch.
Angular,Frontend,HR,MEDIUM,How do you handle state management in large Angular applications?
Angular,Frontend,HR,MEDIUM,Tell me about a performance issue you resolved in an Angular app.
Angular,Frontend,HR,MEDIUM,How do you approach testing Angular components and services?
Angular,Frontend,HR,MEDIUM,Describe your experience with Angular Material or other UI libraries.
Angular,Frontend,HR,MEDIUM,How do you ensure code quality and consistency in Angular projects?
Angular,Frontend,HR,MEDIUM,Tell me about migrating an application to a newer Angular version.
Angular,Frontend,HR,MEDIUM,How do you handle complex routing scenarios in Angular?
Angular,Frontend,HR,MEDIUM,Describe a time you refactored Angular code for better maintainability.
Angular,Frontend,HR,MEDIUM,How do you approach responsive design in Angular applications?
Angular,Frontend,HR,MEDIUM,Tell me about implementing authentication and authorization in Angular.
Angular,Frontend,HR,MEDIUM,How do you manage API integration in Angular projects?
Angular,Frontend,HR,MEDIUM,Describe your experience with RxJS and reactive programming.
Angular,Frontend,HR,MEDIUM,How do you handle form validation in complex scenarios?
Angular,Frontend,HR,MEDIUM,Tell me about mentoring junior developers on Angular.
Angular,Frontend,HR,HARD,Describe architecting a large-scale enterprise Angular application.
Angular,Frontend,HR,HARD,How would you approach migrating a legacy application to Angular?
Angular,Frontend,HR,HARD,Tell me about implementing Angular Universal for SEO optimization.
Angular,Frontend,HR,HARD,How do you establish and enforce Angular coding standards in a team?
Angular,Frontend,HR,HARD,Describe handling critical production issues in Angular applications.
Angular,Frontend,HR,HARD,How would you design a scalable component library for Angular?
Angular,Frontend,HR,HARD,Tell me about optimizing bundle size and load time in Angular.
Angular,Frontend,HR,HARD,How do you balance TypeScript strictness with development speed?
Angular,Frontend,HR,HARD,Describe implementing complex business logic with reactive patterns.
Angular,Frontend,HR,HARD,How would you lead an Angular team through a major architectural change?
domain_name,category_name,test_type,difficulty,question_text
Next.js,Frontend,TECHNICAL,EASY,What is Next.js and why would you use it?
Next.js,Frontend,TECHNICAL,EASY,What is the difference between Next.js and React?
Next.js,Frontend,TECHNICAL,EASY,What is server-side rendering (SSR)?
Next.js,Frontend,TECHNICAL,EASY,What is static site generation (SSG)?
Next.js,Frontend,TECHNICAL,EASY,How do you create pages in Next.js?
Next.js,Frontend,TECHNICAL,EASY,What is the pages directory in Next.js?
Next.js,Frontend,TECHNICAL,EASY,What is file-based routing in Next.js?
Next.js,Frontend,TECHNICAL,EASY,How do you navigate between pages in Next.js?
Next.js,Frontend,TECHNICAL,EASY,What is the Link component in Next.js?
Next.js,Frontend,TECHNICAL,EASY,What is the public folder used for in Next.js?
Next.js,Frontend,TECHNICAL,EASY,How do you add CSS in Next.js?
Next.js,Frontend,TECHNICAL,EASY,What is the Image component in Next.js?
Next.js,Frontend,TECHNICAL,EASY,What is API Routes in Next.js?
Next.js,Frontend,TECHNICAL,EASY,How do you fetch data in Next.js?
Next.js,Frontend,TECHNICAL,EASY,What is getStaticProps?
